timestamp,datetime,year,month,day,hour,weekday,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed,precipitation,is_weekend,hour_sin,hour_cos,aqi_rolling_mean,aqi_rolling_std,aqi_rolling_max,aqi_rolling_min,pm2_5_rolling_mean,pm2_5_rolling_std,pm2_5_rolling_max,pm2_5_rolling_min,pm10_rolling_mean,pm10_rolling_std,pm10_rolling_max,pm10_rolling_min,aqi_lag_1,aqi_lag_24,aqi_lag_48,pm2_5_lag_1,pm2_5_lag_24,pm2_5_lag_48,pm10_lag_1,pm10_lag_24,pm10_lag_48,aqi_ema,pm2_5_ema,pm10_ema,temp_aqi_interaction,humidity_wind_interaction,daily_avg_aqi,monthly_avg_aqi,weekly_avg_aqi,aqi_median,aqi_max,aqi_min,aqi_trend,aqi_seasonal,aqi_residual,is_aqi_spike,is_aqi_dip
1733396400,2024-12-05 11:00:00,2024,12,5,11,3,-1.8675405675672065,514.03,0.88,11.31,133.04,9.06,-0.7980941896024404,-0.9027097856656582,3.29,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,0.258819045102521,-0.9659258262890682,4.833333333333333,0.481543412343071,5.0,3.0,176.69416666666666,100.71622765135157,467.92,47.43,252.49666666666667,125.12442790267221,608.25,80.11,4.0,4.0,4.0,66.26,68.35,68.22,105.88,107.64,116.35,4.691791813405136,169.2114267569281,240.7950407039683,142.29,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.642381092076567,-0.8411270518314522,-0.8012540402451149,0,1
1733400000,2024-12-05 12:00:00,2024,12,5,12,3,-1.8675405675672065,487.33,0.44,12.0,121.59,7.57,-0.8683789649865361,-0.9851089226800006,2.91,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,1.2246467991473532e-16,-1.0,4.791666666666667,0.5882299658752667,5.0,3.0,175.34083333333334,102.38203005184194,467.92,39.99,250.62291666666667,127.58870614047879,608.25,69.82,3.0,4.0,4.0,47.43,72.47,67.0,80.11,114.79,114.26,4.556448468332726,158.87371261637384,227.11703744765086,119.97,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.643533575248323,-0.8355249640334704,-0.808008611214853,0,1
1733403600,2024-12-05 13:00:00,2024,12,5,13,3,-1.8675405675672065,867.84,0.06,35.3,89.41,9.18,-0.809335974912531,-0.9203267051439432,6.84,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.2588190451025208,-0.9659258262890683,4.708333333333333,0.6902530516863452,5.0,3.0,173.90083333333334,103.99981843281269,467.92,39.99,248.49166666666667,130.10988465162043,608.25,69.82,3.0,5.0,4.0,39.99,80.8,67.73,69.82,129.06,114.46,4.431932590866109,149.86301560706391,215.1804744518388,138.72,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.645821192466213,-0.4729078936917275,-1.172913298774486,0,1
1733407200,2024-12-05 14:00:00,2024,12,5,14,3,-0.598834133580179,1295.09,0.0,62.38,55.07,10.85,-0.6650821415637215,-0.7552081234883805,11.65,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.4999999999999997,-0.8660254037844388,4.666666666666667,0.7019641181630291,5.0,3.0,172.55125,105.28532340481533,467.92,39.99,246.28125,132.26073650221633,608.25,69.82,3.0,5.0,4.0,46.24,93.9,71.75,77.91,151.58,118.88,4.3973779835968205,142.79477435849878,205.8484364956917,246.04,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.649422708619185,-0.07901669897637872,-0.5704060096428067,0,0
1733410800,2024-12-05 15:00:00,2024,12,5,15,3,-0.598834133580179,1455.31,0.0,67.17,43.27,11.44,-0.5534200387357627,-0.6119505373672351,15.71,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.7071067811865471,-0.7071067811865479,4.625,0.7109393663377268,5.0,3.0,171.39583333333334,106.25171147129699,467.92,39.99,244.31875,133.8816546939384,608.25,69.82,4.0,5.0,5.0,61.51,101.06,79.06,98.53,163.52,127.94,4.365587744909075,137.2375924098189,198.69416157603638,293.32,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.654805993095896,0.028276631760140586,-0.6830826248560364,0,0
1733414400,2024-12-05 16:00:00,2024,12,5,16,3,0.6698723004068484,1895.9,0.3,78.83,25.75,14.42,-0.3318907399780951,-0.3480971297265566,24.32,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.8660254037844385,-0.5000000000000004,4.625,0.7109393663377268,5.0,3.0,169.29791666666668,107.24410679984766,467.92,39.99,241.19333333333336,135.23604412982533,608.25,69.82,4.0,5.0,5.0,73.33,147.13,99.95,116.42,224.38,156.16,4.41634072531635,134.00098501703337,194.7482286499535,483.9,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.662445626223453,0.32313819636628854,0.01441617741025869,0,0
1733418000,2024-12-05 17:00:00,2024,12,5,17,3,0.6698723004068484,2616.88,5.09,94.59,4.52,18.84,0.015093104088818721,0.025862024653403468,35.97,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.9659258262890683,-0.25881904510252063,4.625,0.7109393663377268,5.0,3.0,167.15625,107.43184297649424,467.92,39.99,237.92583333333332,135.34389778944814,608.25,69.82,5.0,5.0,5.0,96.78,184.91,110.35,149.37,274.49,171.68,4.4630334672910426,133.96170621567072,194.85397035795722,667.55,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.672602232495457,0.33131284820870344,-0.0039150807041608005,0,0
1733421600,2024-12-05 18:00:00,2024,12,5,18,3,0.6698723004068484,3631.59,20.56,98.71,0.14,23.37,0.4805408034402168,0.47941762431252444,47.12,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-1.0,-1.8369701987210297e-16,4.625,0.7109393663377268,5.0,3.0,166.56291666666667,107.29897874140883,467.92,39.99,236.35833333333332,134.92779565597192,608.25,69.82,5.0,5.0,5.0,133.51,197.02,112.56,196.07,290.33,176.69,4.505990789907759,137.86716971841707,199.48245272932067,913.9,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.6853033510979545,0.33983619313385205,-0.025139544231806532,0,0
1733425200,2024-12-05 19:00:00,2024,12,5,19,3,0.6698723004068484,4272.46,33.08,100.08,0.0,24.32,0.7301273310810517,0.6949045802946385,46.61,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.9659258262890684,0.2588190451025203,4.625,0.7109393663377268,5.0,3.0,166.7770833333333,107.38217366750405,467.92,39.99,235.57999999999996,134.60844882715267,608.25,69.82,5.0,5.0,5.0,182.78,204.06,105.99,252.71,298.3,168.39,4.545511526715139,143.5737961409437,205.89345651097503,1046.0,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.700353083840475,0.34861845587303797,-0.04897153971351287,0,0
1733428800,2024-12-05 20:00:00,2024,12,5,20,3,0.6698723004068484,4432.68,37.1,104.19,0.0,21.46,0.7301273310810517,0.6613523563791774,35.46,0.5589475493984616,-0.5791494766487582,0.012911512861582607,0.0,0,-0.8660254037844386,0.5000000000000001,4.625,0.7109393663377268,5.0,3.0,167.56458333333333,107.63119609914177,467.92,39.99,235.41416666666666,134.55454478022844,608.25,69.82,5.0,5.0,5.0,209.2,190.3,93.23,279.62,279.41,150.63,4.5818706045779285,148.8238924496682,211.45637999009705,1046.0,442.0,4.472222222222222,4.698924731182796,4.482142857142857,5.0,5.0,3.0,4.717393631711966,0.15748496658398567,0.12512140170404873,0,0
